titulo,isbn,autores,editora,dataPublicacao,idioma,numeroPaginas
Software Architecture in Practice - Nível Avançado,9784584009239,Italo Calvino,Alfaguara,2021-04-17,eng,610
The Intelligent Investor - Edição Premium,9786100190285,Clarice Lispector,Houghton Mifflin,1927-06-19,eng,683
Blood Meridian - Illustrated,9789712915567,Robert Sedgewick,McGraw-Hill,1978-11-27,por,1099
Braving the Wilderness,9781263765929,Martin Kleppmann,Martins Fontes,2007-02-21,por,818
The War of the Worlds - 2019,9787185483507,James Watson,Oxford University Press,1932-05-24,eng,1368
2001 A Space Odyssey - 2ª Edição,9782669887901,Anton Chekhov,Iluminuras,1904-09-21,fra,1199
A Hora da Estrela - Tomo I,9783937236087,Sam Newman,Orbit,1927-05-21,ita,700
The Left Hand of Darkness - Tomo I,9781196280834,Charles Duhigg;Eric Evans;Peter Thiel,Intrínseca,1982-08-26,eng,804
Predictably Irrational - Edição Especial,9783430039208,Douglas Adams;Juan Rulfo,Objetiva,2009-04-18,eng,743
Algorithms - Essentials,9787060147371,Malcolm Gladwell,Doubleday,2008-04-06,eng,857
A República - Patterns and Practices,9789814780964,Michio Kaku,Oxford University Press,1972-12-16,eng,80
Poder sem Limites - 2022,9784213704061,James Baldwin;George Orwell,Apress,1993-05-13,spa,798
Moby Dick - Edição Especial,9780763670252,Neil Gaiman;Ursula K. Le Guin,Farrar Straus and Giroux,1938-11-11,por,1189
Database Internals - Edição Revisada,9783009490478,Siddhartha Mukherjee;Mark Richards;Anton Chekhov,Crown,1943-08-14,por,230
Remote - Nova Edição,9781030465069,Robert C. Martin;Suzanne Collins,Crown,1903-03-11,eng,724
O Ser e o Nada - 5ª Edição,9789521872228,Orson Scott Card;Dan Ariely,Companhia das Letras,1951-12-07,por,103
Cem Anos de Solidão - Nível Iniciante,9787854257156,Dan Simmons,Addison-Wesley,1949-03-20,por,820
Building Microservices - Parte 1,9782112108164,Neil Gaiman,Scribner,1909-08-19,rus,1372
Cryptonomicon - Parte 3,9782169080444,Frank Herbert;Umberto Eco,Addison-Wesley,2001-06-08,jpn,1184
The Algorithm Design Manual - 2022,9782600298483,Ivan Turgenev,Norton,1966-04-23,eng,1134
Proust Was a Neuroscientist - Nível Avançado,9781320020725,Richard Dawkins;Len Bass;Joseph Heller,Anchor Books,2021-05-11,eng,1279
Invisible Man - Nova Edição,9787591836621,Eric Evans;Marcel Proust,Signet Classic,1970-12-19,por,1391
Cryptonomicon - Manual do Desenvolvedor,9788817538435,Nikolai Gogol,Signet Classic,1989-03-26,por,1006
Man's Search for Meaning - Tomo II,9782192252054,Erich Gamma;Johann Hari,Signet Classic,1991-02-10,spa,210
Good to Great - Tomo I,9782965016920,David Foster Wallace;Peter Thiel,Planeta,2008-06-21,por,799
The Black Swan - Cookbook,9785992968309,Richard Dawkins,Bloom,1998-08-12,eng,728
The Hard Thing About Hard Things - Guia Completo,9784724601552,Yoshua Bengio;Cal Newport;Fyodor Dostoevsky,Dutton,1978-12-02,eng,1173
O Sol Também Se Levanta - 2023,9787088314977,Ian Goodfellow;James Baldwin;Clarice Lispector,No Starch Press,2013-12-08,eng,932
Test Driven Development - Reference,9788877790415,William Faulkner;Milton Hatoum,Farrar Straus and Giroux,2009-12-26,zho,991
Remote - Advanced Topics,9785861156660,Leo Tolstoy,Addison-Wesley,2024-08-07,deu,379
Uma Breve História do Tempo - Tomo II,9788908813724,Franz Kafka;Umberto Eco,Martins Fontes,1925-03-19,eng,218
Sapiens - 2017,9783636404367,Cal Newport,No Starch Press,1984-11-24,por,630
Harry Potter e a Pedra Filosofal - Patterns and Practices,9788258089183,Brian Greene,Norton,2016-03-14,eng,235
The Road - Step by Step,9780242951254,Michael Feathers,Cambridge University Press,1913-10-01,eng,635
Man's Search for Meaning - Nova Edição,9786452172007,Michael Lewis,Iluminuras,1974-03-21,por,1092
Anna Karenina - Guia Prático,9786926403255,Donald Knuth;Siddhartha Mukherjee;F. Scott Fitzgerald,Norton,1909-09-22,kor,101
Shape Up - Essentials,9786064522511,Trevor Hastie,Penguin Books,2024-07-17,ita,1108
Estoicismo - in Practice,9783555862279,Daniel Kahneman,MIT Press,1933-06-05,fra,1292
A Arte da Guerra - Patterns and Practices,9789004313934,Steve McConnell,St. Martin's Press,1996-10-14,spa,987
Clean Architecture - The Complete Guide,9783422874138,Ralph Ellison;Italo Calvino,Dutton,1927-08-16,eng,736
A Revolução dos Bichos - Edição Crítica,9786807754902,Johann Hari;Richard Feynman;Sam Newman,Norton,1954-03-04,jpn,771
Remote - Patterns and Practices,9781115580069,George Orwell,Companhia das Letras,1932-09-10,kor,630
Dead Souls - Edição Ilustrada,9789929986312,Nick Bostrom,Del Rey,2016-10-06,eng,547
Meditações - Edição Bilíngue,9780319637630,Aldous Huxley,Alfaguara,2004-04-13,por,170
Grande Sertão Veredas - Manual do Desenvolvedor,9782311792553,Adam Grant,HarperCollins,1978-01-28,eng,952
Algorithm Design,9786288184748,Max Tegmark,Vintage Books,1916-10-20,eng,1171
O Senhor dos Anéis - Edição Crítica,9781886054578,Neil deGrasse Tyson,Del Rey,1956-11-16,eng,876
The Phoenix Project - in Practice,9788048516233,Chris Richardson,Del Rey,1953-04-14,eng,291
Incognito - 4ª Edição,9785720260439,Fyodor Dostoevsky;Kurt Vonnegut;Roger Penrose,Pearson,2009-08-04,por,308
Design Patterns - Tomo II,9787043525660,Alex Xu,Springer,1913-12-14,por,475
Accelerate - Vol. 2,9784248826653,Michael Feathers,O'Reilly Media,2014-09-07,por,1416
The Emperor's New Mind - Patterns and Practices,9788490535998,Robert Tibshirani,Penguin Books,1944-04-17,eng,1128
Introduction to Algorithms - Vol. 4,9781674110943,Ian Goodfellow,Cambridge University Press,1945-01-10,eng,1189
Rendezvous with Rama - Nível Intermediário,9781455210510,Steven Pinker,Oxford University Press,1976-12-11,fra,434
Hyperion - 2017,9787884611577,Steven Pinker;Jonathan Franzen,Doubleday,2002-07-08,por,995
Liar's Poker - Fundamentals,9785918292358,Kurt Vonnegut;Günter Grass,Signet Classic,1956-02-08,por,595
Ulisses - Tomo I,9789096838933,Ernest Hemingway,No Starch Press,1938-06-18,por,569
High Output Management - The Complete Guide,9782404731964,Nassim Nicholas Taleb;Yuval Noah Harari;William Faulkner,Prentice Hall,1989-01-21,deu,195
Radical Candor - Edição Anotada,9783811780965,João Guimarães Rosa;Carl Sagan,Objetiva,1938-02-07,eng,219
Software Architecture in Practice - For Beginners,9787210270409,Donald Knuth,Doubleday,1996-03-10,eng,643
Os Miseráveis - Edição Especial,9785141313127,Franz Kafka;Donald Knuth,Yale University Press,2010-08-17,eng,446
Macunaíma - Essentials,9784769459354,Milton Hatoum,Scribner,1904-05-08,deu,540
Crítica da Razão Pura - 3ª Edição,9787761791996,Cal Newport,Knopf,1965-08-17,zho,994
Vidas Secas - 2018,9781256279891,Steve McConnell,Knopf,1949-02-22,eng,1360
The Martian - 2020,9786333815474,Ralph Ellison;Sam Newman;Thomas Mann,MIT Press,1918-02-19,eng,595
O Hobbit - 6ª Edição,9786906605396,Martin Fowler,Random House,1921-01-08,eng,507
Grande Sertão Veredas - 2020,9780797496316,Wes McKinney,Oxford University Press,1976-06-02,por,1393
American Gods - 2021,9780733838743,William Gibson;Yuval Noah Harari,HarperCollins,2012-09-21,jpn,1422
Refactoring - Essentials,9787602676666,Marcel Proust;Robert Cialdini;Kay Redfield Jamison,Objetiva,1990-08-24,spa,1207
High Output Management - Edição Comemorativa,9784827226034,Arthur C. Clarke;Ursula K. Le Guin,Harvard University Press,1941-10-06,eng,515
Cosmicomics - 2020,9787651131673,Ivan Turgenev,Apress,2011-09-21,eng,808
When Breath Becomes Air - Vol. 3,9786007976227,Stephen Hawking;Fyodor Dostoevsky,Crown,1929-09-18,eng,55
Fundamentals of Software Architecture - 3ª Edição,9789016808152,Paul Clements;Kurt Vonnegut,Doubleday,1956-09-17,eng,98
Deep Work - Edição Integral,9784024414111,Machado de Assis,Yale University Press,1967-07-22,eng,359
Como Fazer Amigos e Influenciar Pessoas - Handbook,9784564351617,Richard Dawkins,Crown,1963-03-08,por,253
Working Effectively with Legacy Code - Edição Crítica,9783263285711,Peter Thiel,Harvard University Press,1968-12-06,eng,560
Designing Distributed Systems - Edição Ilustrada,9787687576936,Mário de Andrade,Princeton University Press,1973-07-21,eng,1325
Cryptonomicon - Edição Bilíngue,9789558216804,Toni Morrison;Peter Thiel,Simon & Schuster,1995-05-27,eng,399
System Design Interview - Edição Especial,9780439542951,Thomas Pynchon;Clayton Christensen,Princeton University Press,1935-06-08,eng,833
The Castle - Patterns and Practices,9786264720113,Viktor Frankl,Springer,1901-10-03,por,765
Pattern Recognition and Machine Learning - Edição de Bolso,9787342095581,Sam Newman,Addison-Wesley,1976-02-11,eng,1127
Life 3.0 - Reference,9785503915488,Joseph Heller,HarperCollins,1989-02-05,por,1407
Introduction to the Theory of Computation - Edição Atualizada,9781401481056,Jorge Luis Borges,Wiley,1982-10-28,eng,1375
A Wizard of Earthsea - Tomo II,9788466930659,Baron Schwartz,No Starch Press,1988-12-24,eng,64
Anna Karenina - Edição Crítica,9783166136301,Marcel Proust;Johann Hari,Dutton,1993-06-19,eng,189
The Double Helix - Tomo II,9786785359311,Brendan Burns,Pearson,1967-11-02,spa,1258
Superintelligence - Cookbook,9785623276582,Steven Skiena,Bloom,1987-11-20,eng,875
Homo Deus - Edição Ilustrada,9786604496593,Richard Dawkins;Joseph Heller,Bantam Spectra,1960-12-11,eng,1465
The Big Short - Edição Atualizada,9784057736037,Peter Norvig,Harvard University Press,1999-07-06,eng,761
Ender's Game - 2ª Edição,9789658454687,Orson Scott Card,No Starch Press,1981-09-10,eng,1492
Além do Bem e do Mal - Parte 1,9781953165602,Orson Scott Card;Eric Ries;Jonathan Franzen,Oxford University Press,1928-07-04,eng,1099
Cem Anos de Solidão - in Action,9787234660569,J.R.R. Tolkien,Companhia das Letras,2000-10-05,eng,521
Macunaíma - Tomo III,9782656606959,Franz Kafka;Len Bass;James Clear,Houghton Mifflin,1970-06-19,por,1080
The Lean Startup - Edição Anotada,9783387423242,William Gibson,Orbit,1997-10-16,zho,106
Ética a Nicômaco - 2017,9785167225688,Neil deGrasse Tyson,Doubleday,1945-12-21,eng,120
Good Omens - Edição Comemorativa,9781791073671,Wes McKinney;Bessel van der Kolk,Iluminuras,1940-04-02,eng,431
Guerra e Paz - Applied,9786698360978,Carol Dweck,Packt Publishing,1978-11-24,por,827
The War of the Worlds - Reference,9780657569136,H.G. Wells;Steve McConnell,Houghton Mifflin,1905-11-18,fra,407
São Bernardo - 6ª Edição,9782631911849,Frederick Brooks,Tor Books,2022-07-28,fra,1084
Ficciones - 2018,9784798621685,Graciliano Ramos;Robert Tibshirani,Pearson,1975-06-22,por,1456
Java Concurrency in Practice - Nível Intermediário,9785053979473,Stuart Russell,Apress,1973-12-05,spa,1078
Estoicismo - Vol. 2,9781908437624,Clayton Christensen;Italo Calvino,McGraw-Hill,1970-12-01,eng,727
Estoicismo - Patterns and Practices,9786494830804,Clayton Christensen,O'Reilly Media,1975-10-13,fra,1033
A República - 2019,9787950837870,Malcolm Gladwell;Clarice Lispector,St. Martin's Press,1948-11-17,eng,1305
Ulisses - 2020,9787660441954,Robert C. Martin,Princeton University Press,1940-12-19,por,492
Foundation - 2020,9788558014212,Thomas Mann;Christopher Bishop;Erich Gamma,Addison-Wesley,2016-12-02,fra,1120
Pedro Páramo - Advanced Topics,9789972210570,Hermann Hesse,Iluminuras,1918-10-03,eng,1085
The Big Short - Essentials,9789043865517,Carl Sagan,Norton,1965-11-25,eng,429
Terraform in Practice - Vol. 2,9781759814001,Peter Norvig,Oxford University Press,1952-08-15,eng,159
Effective Java - Vol. 1,9783836986953,Aldous Huxley,Scribner,2010-07-08,zho,291
Cosmicomics - Manual do Desenvolvedor,9780664585167,Cal Newport,Yale University Press,1904-05-04,por,703
A Random Walk Down Wall Street - Edição Ampliada,9782236692662,Martin Fowler,Manning Publications,1957-02-02,por,1069
Mindfulness - in Action,9784481835825,Richard Dawkins,Signet Classic,2018-07-24,eng,223
The Trial - 2019,9784210286058,Jonathan Franzen,Objetiva,1959-04-28,zho,402
O Hobbit - A Deep Dive,9784382054417,James Watson,Norton,2017-09-24,por,82
Cryptonomicon - Nível Iniciante,9782577230134,Peter Norvig,Manning Publications,2019-03-20,spa,333
Ética a Nicômaco - Nova Edição,9782039137995,Marcel Proust,Scribner,1947-01-05,eng,336
The Aleph - 2ª Edição,9787853881109,Jorge Luis Borges;Christopher Bishop,MIT Press,2002-12-28,eng,1390
Terraform in Practice - 2018,9785681492849,Dan Simmons,Dutton,1992-05-03,por,214
Influence - 2022,9785237808193,Donald Knuth;Carol Dweck;Angela Duckworth,McGraw-Hill,1926-10-19,eng,1384
The Cherry Orchard - Nova Edição,9786491749192,Chris Richardson,Yale University Press,2018-12-10,fra,554
Refactoring - Edição Atualizada,9789639917019,Yoshua Bengio;Simon Sinek;Jim Collins,Iluminuras,1923-09-18,kor,686
Shape Up - 2022,9789448165786,Mário de Andrade;Angela Duckworth;Brené Brown,Del Rey,1939-09-07,eng,952
The C Programming Language - Edição Definitiva,9789613180958,Kay Redfield Jamison;Carl Sagan,Del Rey,1977-11-03,eng,1145
The Pragmatic Programmer - Edição Anotada,9785295280511,Robert Cialdini,Knopf,1949-04-03,spa,1270
Predictably Irrational - Step by Step,9786789804497,Mark Richards,Objetiva,1913-10-17,eng,906
Guerra e Paz,9788900045895,Douglas Hofstadter,Prentice Hall,2017-12-11,eng,417
The Big Short - Edição Premium,9785869680174,Günter Grass,Dutton,1922-06-12,fra,212
Moby Dick,9788116568003,Mário de Andrade,Bantam Spectra,1977-06-09,por,410
Project Hail Mary - 6ª Edição,9789142007610,Clarice Lispector,Anchor Books,1937-08-21,fra,641
O Sol Também Se Levanta - in Action,9784789910996,Isaac Asimov,Prentice Hall,1989-06-26,por,1014
Code Complete - Edição Integral,9789969540765,James Watson,Bloom,2007-09-03,eng,1066
Anna Karenina - Nível Intermediário,9789479985964,Kevin Wayne,Princeton University Press,2003-07-24,deu,515
Rich Dad Poor Dad - Tomo II,9785195761189,Juan Rulfo,Random House,1986-04-27,eng,689
O Alquimista - in Depth,9784540671432,Trevor Hastie;James Watson;Donald Knuth,Companhia das Letras,1992-03-21,eng,936
White Noise - Edição Premium,9789026619984,Alex Xu,Houghton Mifflin,1972-06-19,jpn,184
A Random Walk Down Wall Street - Tomo II,9788015280778,Neal Stephenson;Martin Kleppmann,Sams Publishing,1903-09-22,eng,642
A Revolução dos Bichos - Guia Prático,9783569349025,Aldous Huxley,Oxford University Press,1934-10-18,eng,355
Ser e Tempo - 2021,9784353038736,Michael Lewis,Anchor Books,1982-12-16,eng,307
The Body Keeps the Score - Guia Prático,9780846857914,Isaac Asimov;Ivan Turgenev,Farrar Straus and Giroux,1994-05-10,spa,877
The Emperor's New Mind - Fundamentals,9787748791629,Neil deGrasse Tyson;Angela Duckworth,Scribner,1932-01-25,por,567
O Senhor dos Anéis - in Action,9784901350051,Jonathan Franzen,Random House,2015-08-19,por,1458
Meditações - 4ª Edição,9785461115845,Neil Gaiman,Intrínseca,1945-11-10,eng,124
The Immortal Life of Henrietta Lacks - Edição Definitiva,9787841882040,Sam Newman,Norton,1963-01-26,eng,968
A Montanha Mágica - 2017,9781145998063,Stuart Russell;Trevor Hastie;Yuval Noah Harari,HarperCollins,1917-11-18,eng,1100
Pálido Ponto Azul - 2017,9780723275039,James Clear,Addison-Wesley,1930-03-07,por,1418
Sobre a Brevidade da Vida - Vol. 2,9785130741733,Thomas Mann,Oxford University Press,1999-02-20,por,1084
The Big Short - The Complete Guide,9782805637872,Steve McConnell,Oxford University Press,2022-04-26,rus,513
Mindfulness,9786902811692,Paul Clements,Scribner,1998-01-15,eng,1254
Designing Distributed Systems - Nível Intermediário,9780156570428,James Baldwin,McGraw-Hill,1917-01-23,por,773
The Lean Startup - 2017,9787628744752,Adam Grant;Yuval Noah Harari,MIT Press,1905-03-08,eng,1494
Radical Candor - 2023,9780790086651,Italo Calvino;Seth Godin,Oxford University Press,1948-12-15,eng,338
Pedro Páramo - 2019,9781124049922,Mário de Andrade;Kay Redfield Jamison,Intrínseca,1948-01-24,eng,700
The Hard Thing About Hard Things - Fundamentals,9783311531647,Mark Richards,Little Brown,1983-12-18,por,1066
2001 A Space Odyssey - Parte 2,9781883387709,Peter Norvig,Scribner,1952-10-24,eng,370
Liar's Poker,9780778324058,Douglas Adams;Sam Newman,Addison-Wesley,2016-03-10,por,1376
Enlightenment Now - Parte 2,9789189268609,Mário de Andrade,Record,1989-06-15,eng,637
Ulisses - Essentials,9784372302283,Jonathan Franzen,Doubleday,1997-12-25,eng,1356
São Bernardo - Edição Definitiva,9784559517677,Michael Feathers,Rocco,1968-08-10,eng,53
The Time Machine - Nível Iniciante,9787824668531,F. Scott Fitzgerald;Toni Morrison,Cosac Naify,1957-03-01,por,389
Sprint - 2022,9787441036768,Carol Dweck,Pragmatic Bookshelf,1940-05-26,por,106
The Phoenix Project - Edição Revisada,9787511670762,Orson Scott Card;Toni Morrison,Sams Publishing,1925-12-19,por,413
The War of the Worlds - Tomo II,9781064508008,Sam Newman,Penguin Books,1910-07-12,eng,976
Catch-22 - Vol. 1,9789365071962,Andy Weir,Doubleday,1960-12-23,por,789
Algorithm Design - 2024,9784476294811,Eric Evans,Del Rey,2012-11-28,kor,898
Macunaíma - Handbook,9789353570880,Richard Dawkins,Penguin Books,1905-07-19,por,791
Assim Falou Zaratustra - 2017,9788706760954,Hans Rosling;Nassim Nicholas Taleb,Vintage Books,2011-10-24,ita,169
The Castle - Reference,9784182377778,David Foster Wallace;Andy Weir,Companhia das Letras,1942-09-05,por,364
The Double Helix - Advanced Topics,9788857123394,Machado de Assis;Wes McKinney,Oxford University Press,1910-09-10,eng,1032
Moby Dick - Reference,9780945727712,Neal Ford,Doubleday,1951-03-05,ita,1210
No Country for Old Men - in Depth,9782745441973,Machado de Assis,Pragmatic Bookshelf,1968-04-26,por,1233
Foundation - Tomo III,9786077073710,Andy Weir,Bloom,2016-03-18,por,566
When Breath Becomes Air - Vol. 5,9782525101004,Chico Buarque;Nassim Nicholas Taleb,Dutton,1937-12-17,por,539
A Metamorfose - Edição Ampliada,9789981604483,Robert Sedgewick,Rocco,1961-11-10,deu,1353
Sobre a Brevidade da Vida - Guia Completo,9786801354641,Carol Dweck,Tor Books,1950-10-24,eng,1070
Design Patterns - Nível Avançado,9782803537877,Nikolai Gogol;Marcel Proust,Pearson,1970-06-10,fra,1267
Enlightenment Now - Vol. 2,9784084156211,Kief Morris;Yoshua Bengio;Nassim Nicholas Taleb,Martins Fontes,2021-11-08,eng,812
The Castle - Guia Completo,9780907489207,Martin Fowler,Simon & Schuster,1951-04-15,por,1283
Estoicismo - 2023,9788154037851,Chico Buarque;Betsy Beyer,Crown,1909-01-21,jpn,1114
Shape Up - Edição Bilíngue,9780963562265,James Baldwin,Little Brown,1910-10-07,eng,1427
The Hunger Games - Parte 1,9785442752885,Italo Calvino,Doubleday,1974-02-07,eng,872
The Intelligent Investor - 2021,9785906330840,Italo Calvino;Brendan Burns,No Starch Press,2016-09-28,eng,614
A Hora da Estrela - Illustrated,9784181934941,Dan Ariely,Addison-Wesley,1986-10-10,rus,1115
Security Analysis - Vol. 2,9788483620304,Don DeLillo;Robert Tibshirani,MIT Press,1955-09-15,eng,438
Infinite Jest - Patterns and Practices,9783547530230,Stephen Hawking,Tor Books,1968-10-28,spa,1320
PostgreSQL Up and Running - 2020,9786279997708,Seth Godin,Random House,1925-11-20,por,1344
Deep Learning - 4ª Edição,9780528377006,Adam Grant,Bantam Spectra,1973-03-13,eng,1065
Underworld - 2024,9788334493040,Jim Collins,Oxford University Press,1972-06-06,eng,96
O Pequeno Príncipe - Edição Especial,9783644150386,João Guimarães Rosa,No Starch Press,1946-01-13,jpn,758
Uma Breve História do Tempo - Edição de Bolso,9783605005526,Martin Kleppmann;Aurélien Géron,Random House,1939-08-21,eng,425
Anathem - Vol. 3,9789136262483,Neil Gaiman;Juan Rulfo,Springer,1931-02-11,fra,602
Crime e Castigo - Edição Ampliada,9789024400621,Peter Thiel,Alfaguara,1952-07-14,spa,537
Mindfulness - Vol. 5,9783192867668,Carl Sagan;Donald Knuth,Random House,1954-07-21,eng,162
Good to Great - 6ª Edição,9783253866258,Dan Ariely,McGraw-Hill,1985-07-28,eng,1093
The Name of the Rose - Edição Comemorativa,9784396485016,Erich Gamma;Italo Calvino,Springer,1915-02-14,por,831
Cosmos - 2019,9781010494867,Clarice Lispector;Jorge Luis Borges;Graciliano Ramos,Simon & Schuster,1902-07-10,eng,1444
The Cherry Orchard - A Deep Dive,9782610997352,Suzanne Collins;Neal Ford,Objetiva,2011-03-20,deu,820
A Arte da Guerra - A Deep Dive,9780153595790,Cal Newport;Jonathan Franzen,Packt Publishing,1963-12-03,spa,131
Introduction to the Theory of Computation - 2ª Edição,9786037771564,Isaac Asimov,Bloom,1900-04-03,por,1293
Predictably Irrational - 2017,9786000618049,Wes McKinney,Signet Classic,2010-12-11,spa,183
Macunaíma - Cookbook,9785688579093,Nassim Nicholas Taleb,Puffin Books,1936-12-24,por,964
Clean Code - 2017,9787976224937,Günter Grass,Martins Fontes,1930-11-27,por,370
Terraform in Practice - Best Practices,9786032579585,Roger Penrose,Record,1965-12-03,eng,1260
The Emperor's New Mind - Reference,9781082848940,Robert C. Martin,Pearson,1996-01-14,spa,1134
Surely You're Joking Mr. Feynman - Edição Definitiva,9786933052217,Betsy Beyer,Companhia das Letras,1979-10-10,por,843
Life 3.0 - 2017,9781561710140,Neal Ford,Packt Publishing,1962-03-27,kor,1363
The Body Keeps the Score - 2020,9780524985670,Orson Scott Card,Rocco,1983-08-14,eng,694
Ender's Game - 2016,9781294217725,Kent Beck,Wiley,1965-04-07,eng,800
Code Complete - For Beginners,9786275204510,Günter Grass;Jennifer Doudna,Puffin Books,1927-01-14,eng,1062
Zero to One - Manual do Desenvolvedor,9789968157575,Ralph Ellison;Arthur C. Clarke;Wes McKinney,McGraw-Hill,1908-12-16,spa,727
Accelerate - 2017,9782981548818,Günter Grass,Record,2009-10-04,eng,83
The Immortal Life of Henrietta Lacks - Vol. 2,9788362148561,Hans Rosling,Leya,1959-05-02,por,613
O Idiota - 3ª Edição,9781479808137,Hermann Hesse,Packt Publishing,1960-02-19,por,218
Homo Deus - Vol. 1,9784588623769,Stephen Hawking,Scribner,1916-02-11,eng,641
Cem Anos de Solidão - Edição Bilíngue,9787239431072,Brian Greene,Cosac Naify,2006-10-14,fra,1480
Meditações - A Deep Dive,9782697697114,Mário de Andrade;Ivan Turgenev,Cosac Naify,2019-10-03,por,379
Terraform in Practice - Edição de Bolso,9781242962660,Ian Goodfellow;Max Tegmark,Anchor Books,1984-05-12,spa,900
The Pragmatic Programmer - 2021,9788704765876,Peter Norvig;Hermann Hesse,Puffin Books,2011-07-18,eng,161
O Sol Também Se Levanta - 2018,9784625511516,Günter Grass;Neal Stephenson,Bloom,1978-10-14,eng,811
O Senhor dos Anéis - in Depth,9781753277697,Adam Grant,Norton,1966-07-16,eng,977
Lost Connections - Vol. 2,9783315937919,Neil deGrasse Tyson,HarperCollins,1979-12-25,por,167
Zero to One - Edição Clássica,9782109848660,Kevin Wayne,Harvard University Press,2022-12-04,eng,675
Data Science from Scratch - 3ª Edição,9785867088699,Jennifer Doudna,Intrínseca,1900-09-17,eng,117
Anathem - A Deep Dive,9783831272082,James Baldwin;Chico Buarque;Steven Pinker,St. Martin's Press,1925-05-15,por,243
The Bell Jar - 2019,9789826959563,Alex Xu,Little Brown,1963-11-11,kor,1027
Predictably Irrational,9785882787331,Steven Skiena,Tor Books,2023-07-14,kor,432
Python for Data Analysis - Vol. 3,9782352341239,F. Scott Fitzgerald,Tor Books,1971-03-21,por,1238
A Arte da Guerra - Edição Integral,9788941386711,Andy Weir;Machado de Assis,Sams Publishing,1965-12-24,por,418
Ética a Nicômaco - For Beginners,9789386157164,Erich Gamma,Vintage Books,2021-05-23,eng,1327
System Design Interview - Nível Intermediário,9789150847604,Stephen Hawking;George Orwell,McGraw-Hill,1924-07-02,spa,596
Factfulness - 2019,9788358476272,Thomas Mann;Christopher Bishop,Tor Books,1932-03-12,deu,639
Pálido Ponto Azul - in Practice,9780132519014,Jonathan Franzen,Penguin Books,1924-01-20,eng,917
O Alquimista - Applied,9782952622264,Thomas Pynchon,Anchor Books,1902-01-07,fra,1346
Project Hail Mary - Edição Anotada,9781535306973,Martin Fowler,Harvard University Press,1961-08-16,eng,1246
Ulisses - Vol. 3,9788945015006,Richard Feynman,Doubleday,1969-10-25,spa,586
The Left Hand of Darkness - Vol. 3,9783022869930,Yuval Noah Harari;Peter Thiel;Brendan Burns,St. Martin's Press,1904-08-13,por,738
Cryptonomicon - Advanced Topics,9780324469196,Ivan Turgenev,Vintage Books,2000-05-21,por,507
Crime e Castigo - in Action,9789329317877,Ivan Turgenev,Houghton Mifflin,1994-08-15,por,684
Python for Data Analysis - Edição Crítica,9783733560119,Gabriel García Márquez,Puffin Books,1910-08-03,eng,1344
O Idiota - Step by Step,9781756010178,Carl Sagan,Harvard University Press,1942-12-09,eng,1322
O Sol Também Se Levanta - Vol. 1,9781607847991,Ivan Turgenev;Martin Fowler,Simon & Schuster,2023-01-06,por,932
Dom Casmurro - 2016,9786379120549,Kent Beck,Apress,2023-07-14,eng,1382
Cosmos - Nível Avançado,9789154263301,Cal Newport;H.G. Wells;James Clear,Sams Publishing,1974-04-19,por,688
Designing Distributed Systems - Nível Avançado,9783447236553,Roger Penrose,Princeton University Press,2012-08-15,por,892
Algorithms - Cookbook,9781487676933,William Gibson;Günter Grass,Farrar Straus and Giroux,1967-07-03,eng,943
The Algorithm Design Manual - Edição Comemorativa,9780310914655,Daniel Kahneman,Rocco,1903-07-27,por,1000
High Performance MySQL - Edição Clássica,9785821994998,Robert Tibshirani,St. Martin's Press,1960-05-17,eng,647
Além do Bem e do Mal - Fundamentals,9783372712979,Siddhartha Mukherjee,Martins Fontes,1909-02-07,spa,1131
Java Concurrency in Practice - Applied,9786231702241,Frederick Brooks,Cosac Naify,1994-08-10,eng,649
When Genius Failed - 5ª Edição,9782295401175,Toni Morrison,Iluminuras,1923-11-22,eng,244
Sprint - 2016,9781892020192,F. Scott Fitzgerald,Pearson,1916-03-08,eng,451
Rework - Edição Clássica,9784638089965,Isabel Allende,O'Reilly Media,1951-06-16,jpn,984
Ficciones - Edição Especial,9780661424629,Wes McKinney,MIT Press,1989-12-16,ita,1348
O Processo - Tomo III,9789092030164,Kurt Vonnegut,Houghton Mifflin,1906-12-06,fra,265
A República - 6ª Edição,9786194502629,Isabel Allende;Sam Newman,Record,1972-05-01,por,395
Kubernetes in Action - Essentials,9782047755860,Richard Dawkins;Jonathan Franzen;Ursula K. Le Guin,Rocco,2016-11-19,eng,231
Shape Up - Edição Definitiva,9782319177017,Thomas Mann,No Starch Press,1906-12-02,spa,95
Hyperion,9780576859226,Anton Chekhov;Jonathan Franzen;Thomas Pynchon,Doubleday,1990-12-08,eng,699
The Lean Startup - Edição Clássica,9786780283840,Donald Knuth,Prentice Hall,1992-08-13,fra,1481
Effective Java - 2018,9786214254101,Fyodor Dostoevsky,Tor Books,1907-11-26,eng,636
Os Miseráveis - 2ª Edição,9786677855068,Chris Richardson,O'Reilly Media,1926-03-16,eng,996
Poder sem Limites - The Complete Guide,9783861820703,Paul Clements,Companhia das Letras,1959-08-10,eng,214
O Sol Também Se Levanta - Edição Clássica,9785296300829,Carol Dweck;Wes McKinney,Springer,2000-04-14,eng,1133
The War of the Worlds,9788871336558,Roger Penrose,Crown,1906-05-12,por,121
